[2026-07-14 04:50:28] Blocked IP: ::1 | Reason: Suspicious pattern detected in query parameters | URI: /index.php?id=union%20select
[2026-07-14 04:50:30] Blocked IP: ::1 | Reason: Suspicious pattern detected in query parameters | URI: /index.php?id=union%20select
[2026-07-14 04:51:25] Blocked IP: ::1 | Reason: Suspicious pattern detected in query parameters | URI: /index.php?id=union%20select
[2026-07-14 04:51:26] Blocked IP: ::1 | Reason: Suspicious pattern detected in query parameters | URI: /index.php?id=union%20select
[2026-07-14 04:51:26] Blocked IP: ::1 | Reason: Suspicious pattern detected in query parameters | URI: /index.php?id=union%20select
[2026-07-14 04:51:26] Blocked IP: ::1 | Reason: Suspicious pattern detected in query parameters | URI: /index.php?id=union%20select
[2026-07-14 04:51:26] Blocked IP: ::1 | Reason: Suspicious pattern detected in query parameters | URI: /index.php?id=union%20select
[2026-07-14 04:51:27] Blocked IP: ::1 | Reason: Suspicious pattern detected in query parameters | URI: /index.php?id=union%20select
[2026-07-14 04:51:27] Blocked IP: ::1 | Reason: Suspicious pattern detected in query parameters | URI: /index.php?id=union%20select
[2026-07-14 04:51:27] Blocked IP: ::1 | Reason: Suspicious pattern detected in query parameters | URI: /index.php?id=union%20select
[2026-07-14 04:51:27] Blocked IP: ::1 | Reason: Suspicious pattern detected in query parameters | URI: /index.php?id=union%20select
[2026-07-14 04:51:27] Blocked IP: ::1 | Reason: Suspicious pattern detected in query parameters | URI: /index.php?id=union%20select
[2026-07-14 04:51:27] Blocked IP: ::1 | Reason: Suspicious pattern detected in query parameters | URI: /index.php?id=union%20select
[2026-07-14 04:51:28] Blocked IP: ::1 | Reason: Suspicious pattern detected in query parameters | URI: /index.php?id=union%20select
[2026-07-14 04:51:28] Blocked IP: ::1 | Reason: Suspicious pattern detected in query parameters | URI: /index.php?id=union%20select
[2026-07-14 04:51:28] Blocked IP: ::1 | Reason: Suspicious pattern detected in query parameters | URI: /index.php?id=union%20select
[2026-07-14 04:51:28] Blocked IP: ::1 | Reason: Suspicious pattern detected in query parameters | URI: /index.php?id=union%20select
[2026-07-14 04:51:28] Blocked IP: ::1 | Reason: Suspicious pattern detected in query parameters | URI: /index.php?id=union%20select
[2026-07-14 04:51:28] Blocked IP: ::1 | Reason: Suspicious pattern detected in query parameters | URI: /index.php?id=union%20select
[2026-07-16 12:51:01] Blocked IP: ::1 | Reason: Malicious User Agent Detected | URI: /
